 Symptoms,Disease,Treatment
"Diplopia, facial paralysis, increased head size (in children), coughing, headache, vomiting, optic disc edema, changes in vision and visual field, epilepsy",Glioma,"What are the treatment options for glioma? 
(1) Surgical Treatment: The principle is to remove the tumor as much as possible while preserving neurological functions. Early-stage patients with small tumors should strive for complete resection. Superficial tumors can have the cortex incised around them, and white matter tumors should avoid important functional areas for cortical incisions. For larger tumors located in the frontal or anterior temporal lobes, lobectomy can be performed to remove the tumor. If the tumor in the frontal or temporal lobe is too extensive for complete resection, as much of the tumor should be removed as possible, and a decompression surgery can be performed on the pole to extend the recurrence time. 
Hemispherectomy may be considered for tumors involving more than two lobes of a cerebral hemisphere, causing hemiplegia but not invading the basal ganglia, thalamus, and the contralateral side. 
For tumors located in motor, speech areas without significant hemiplegia, or aphasia, it is important to preserve neurological functions and avoid severe sequelae while removing the tumor appropriately. Temporal muscle subfascial decompression or bone flap decompression can also be performed. Biopsy followed by decompression surgery is an option. For thalamic tumors causing obstruction of the third ventricle, shunting can be performed, otherwise decompression surgery is also an option. 
In critical conditions, dehydration medication should be administered for supratentorial tumors while exams and diagnosis should be promptly pursued, followed by surgical treatment. Posterior fossa tumors can have ventricular drainage surgery first, and after 2-3 days when the condition stabilizes, surgery can proceed. 
(2) Radiation Therapy: External radiation sources include high-voltage X-ray therapy machines, 60Co therapy machines, and electron accelerators. 
(3) Chemotherapy: Lipophilic chemotherapy drugs that can cross the blood-brain barrier are suitable for cerebral gliomas. During grades III to IV of astrocytoma, the blood-brain barrier is compromised due to edema, allowing hydrophilic macromolecular drugs to pass through. However, the destruction of the blood-brain barrier is not severe at the proliferative cell-dense area around the tumor, hence lipophilic drugs are still the preference. The current drugs of choice include Teniposide (VM26), CCNU (Lomustine), and MeCCNU, which show a broad anti-tumor spectrum, high lipophilicity, and can cross the blood-brain barrier. They are cell cycle-specific drugs that disrupt deoxyribonucleic acid and block at the G2 (post DNA synthesis) and M (mitosis) phases. The treatment tends to use combination chemotherapy based on the cell kinetics and the specificity of drugs on the cell cycle, using more than two drugs, or even multiple drugs combined to improve efficacy. Shanghai Zhang Tianxi's use of teniposide - CCNU sequential chemotherapy has shown significant efficacy and is recommended. 
(4) Immunotherapy: Immunotherapy is still in the experimental phase, and its efficacy is not yet certain, subject to further research. 
(5) Other Medications: For malignant gliomas, hormone therapy with dexamethasone is most effective. It can reduce brain edema and has an inhibitory effect on tumor cell growth. This can alleviate symptoms, followed by surgical treatment. 
For patients with epileptic seizures, antiepileptic drugs should be administered before and after surgery."
"headaches, blurred vision, tinnitus, hearing loss, numbness in limbs, fatigue, irritability, incoherent speech, sleep disorders, and memory decline",Cerebral Arteriosclerosis,"Treatment options for Cerebral Arteriosclerosis include:
1. For symptoms such as headaches, dizziness, memory decline, and lack of concentration, cerebroactive agents like Piracetam (Cerebrocome), Dihydroergotoxine Mesylate (Hydergine), Vitamin E, Amisulpride/Loxapine (Sulpiride), calcium channel blockers like Nimodipine, Flunarizine (Sibelium), vasodilators like Vinburnine, Ligustrazine, and Ginkgo biloba preparations can be used for symptomatic treatment. For patients with anxiety and depression, appropriate treatment should be given, and for sleep disorders, low-dose benzodiazepines can be used to improve brain function.
2. Patients with carotid atherosclerosis can opt for antiplatelet drugs, such as Aspirin, Clopidogrel, and Ticlopidine Hydrochloride. In cases where the carotid artery lumen stenosis is greater than 75%, carotid endarterectomy can be performed to prevent the formation of cerebral thrombosis."
"Erythema, crust formation, pustules, papules, pruritus, vesicles, or bullae lesions",Pyogenic Granuloma,"Treatment options for Pyogenic Granuloma include: 

1. Allopathic (Western) Medicine Treatment: 
   (1) Systemic treatment: For widespread skin lesions accompanied by fever or lymphadenitis, sulfonamide drugs or antibiotic preparations can be administered. 
   (2) Topical treatment: The principles of sterilization, anti-inflammation, itch relief, and drying are followed. For unruptured blisters, apply 1% camphor or a 10% sulfur-alum lotion several times a day. For ruptured blisters that have formed erosive areas or crusts, initially apply a 0.1% Rifamycin solution for wet dressing, followed by the topical application of 0.5% Neomycin ointment, Mupirocin ointment, Ciprofloxacin ointment, or a 2% Gentian violet solution. 

2. Traditional Chinese Medicine (TCM) Treatment: 
   (1) Internal treatment: Symptoms include pustules surrounded by inflammatory erythema, erosions and purulent crusts after rupture, possibly accompanied by fever, thirst, poor appetite, constipation, dark urine, a red tongue with a thin yellow coating, and a slippery rapid pulse. These symptoms are attributed to damp-heat in the lung and stomach, and external pathogenic toxins. 
      Treatment principle: Clear heat, detoxify, and promote diuresis. 
      Prescriptions: Dandelion (10g), Violae Herba (10g), Wild Chrysanthemum (10g), Honeysuckle (10g), Scutellaria baicalensis (10g), Rehmannia (10g), Alisma (10g), Talc (30g, wrapped for decoction), and Licorice (6g). 
   (2) External treatment: 
      ① Apply Golden Yellow Powder mixed with herbal tea externally to the affected area. 
      ② Decoct 30g of Portulaca oleracea and 30g of Sophora flavescens, and apply as a wet dressing to the affected area. 
      ③ Apply a lotion made from an equal mix of Rhubarb and Sulfur, known as 'Overturning Powder'."
"Palpitations, shortness of breath, dyspnea, dizziness, syncope, cough with sputum, hemoptysis, fever, anemia",Cardiac Myxoma,"What are the treatment modalities for Cardiac Myxoma? Due to the risk of sudden death associated with Cardiac Myxoma, early diagnosis and surgical resection of the cardiac tumor should be performed as soon as a diagnosis is confirmed, to yield significant therapeutic results. Treatment Principles include: 1. Strict bed rest; 2. In cases of heart failure, cardiac tonics and diuretics to improve cardiac function, and cardiac tumor resection surgery should be performed as soon as possible or on an emergency basis under hypothermia and extracorporeal circulation; 3. Before aortic clamping, avoid manipulating or probing the heart internally or externally; 4. Complete resection of the tumor stalk area, atrial septum, atrial wall, endocardium, and myocardium; if cardiac valves are invaded and cannot be repaired, valve replacement surgery should be conducted; for annular dilatation leading to insufficiency, annuloplasty should be performed; if the resection of the septum is extensive, patch repair is necessary. 5. The cardiac incision should be large to facilitate complete tumor resection; 6. After tumor resection, the cardiac chamber should be thoroughly washed to prevent residual tumor fragments. Indications and timing for surgery: Once Cardiac Myxoma is diagnosed, surgical resection should be arranged without exception as early as possible. Given that patients are often threatened by arterial embolism and/or sudden death, timely intervention is crucial. 1. For patients with solitary Cardiac Myxoma without systemic reactions, elective surgery should be scheduled without delay. 2. In cases of severe systemic reactions, rapid disease progression, and ominous signs, emergency surgery should follow after excluding non-Myxoma factors. 3. Repeated episodes of arterial embolism posing a threat to life warrant emergency surgery. 4. For persistent fever unresponsive to extensive antibiotic therapy, without ruling out fever from Myxoma itself, alongside continuing antibiotic use, emergency surgery should not be postponed. 5. For chronic heart failure presentation, weakness, orthopnea, hepatomegaly, ascites, lower extremity edema cases, after ruling out other factors, active heart failure control should be pursued before surgery when the condition stabilizes. Contraindications for Surgery: There are no absolute contraindications for Myxoma surgery except for: 1. Cachexia caused by malignancies other than the cardiac myxoma, where concurrent surgical removal is not feasible; 2. Uncontrolled disseminated tuberculosis infection; 3. End-stage cases nearing death, unable to withstand the burden of cardiopulmonary bypass surgery; 4. Uncontrolled severe pyogenic infections. 5. Coexistent complex congenital heart and/or lung vascular malformations not amenable to conventional surgical correction (heart or lung transplantation may be considered). Preoperative preparations: For uncomplicated cases, aside from standard elective surgery preparations, adequate rest is essential, avoiding excessive activity and sudden bodily movements. Emergent cases should follow emergency protocols. Key surgical treatments include: 1. During transportation of the patient to the operating room and throughout positioning for anesthesia, excessive and abrupt movements should be avoided. 2. Anesthesia should be administered as for critically ill patients, paying attention to heparin resistance. During extracorporeal circulation, both arterial and venous lines should be fitted with micron filters (40µ) to prevent micro-thrombi from entering the circulation. 3. Prevent formation of tumor emboli. Throughout the surgery, remain vigilant about the possibility of tumor debris dislodging and forming emboli. For example, when performing median sternotomy, avoid vigorous shaking; before circulation stoppage, do not manipulate or palpate the heart, nor perform digital intra-cardiac exploration; gentle handling during surgery; post-tumor excision, thoroughly rinse and aspirate the cardiac chamber; arterial and venous ports of the heart-lung machine should be fitted with micron filters. 4. Choose an appropriate cardiac incision to fully expose the tumor (or its stalk). For different cardiac chambers' myxomas, especially large tumors or those located in unusual positions (or pedunculated), or multiple myxomas, different cardiac incisions are required to fully expose the tumor, the stalk, using a large enough incision. 5. Complete resection, ensuring the tumor is wholly removed. Along with parts of normal myocardium, completely excise the tumor without leaving any remnants. 6. Pay attention to protecting the myocardium to maintain normal cardiac function, ensuring smooth recovery. 7. Correct blood abnormalities. Cardiac Myxomas often present with blood abnormalities (anemia, acid-base imbalance, electrolyte disorders, heparin resistance); intra-operative adjustments should be made to achieve or approximate normal state, ensuring stable post-operative recovery. Post-operative care: Besides general post-cardiac surgery care, special attention should be paid to the signs of tumor emboli. In cases of limb embolization, active embolectomy is required; for cerebral embolism, symptomatic and supportive treatment should be pursued. Management of low cardiac output syndrome follows the routine post-cardiac surgery protocol, which includes replenishing blood volume, using cardiotonic and diuretic medications, adjusting blood pressure as necessary, and early installation of intra-aortic balloon pump or left/right ventricular assist device if required. Arrhythmias should be managed by correcting electrolyte imbalances and using appropriate anti-arrhythmic medications, installing temporary or permanent pacemakers as needed. Post-operative outcomes and follow-up requirements: Providing discharge instructions for patients is crucial to enhance their ability to self-monitor their condition, ensuring follow-up requirements are met to promptly detect recurrences. In China, follow-up data of over ten years indicate a recurrence rate of about 1% to 2%, whereas international literature estimates around 5%. This potential threat of post-operative recurrence necessitates long-term (lifetime) regular follow-ups. Follow-up content mainly includes self-monitoring (symptoms) and physical signs, with echocardiography being the most critical. It's recommended to have follow-ups every six months within the first four years after surgery and annually thereafter. Follow-up mode: Where possible, returning to the surgical hospital for outpatient review, or notifying the surgical hospital via communication after local hospital review. Medication Principles: Heparin and Protease for extracorporeal circulation, Protamine sulfate postoperatively to neutralize heparin. Postoperatively, Penicillin, Gentamicin for prophylactic or therapeutic antibiotic treatment, if ineffective, cephalosporin antibiotics may be used based on the condition. Postoperatively, according to the condition, use vasopressors or vasodilators. Postoperatively, cardiotonics and diuretics. Depending on the condition, postoperative continuous infusion of GIK solution."
"Joint pain, joint swelling, joint dislocation",Osteoarthritis,"What are the treatment options for Osteoarthritis?
    Osteoarthritis, when affecting the whole body or a few joints, is considered a benign disease. Most degenerative joint diseases involve multiple joints, gradually worsening, and are relatively non-disabling diseases. Patients often seek medical advice due to systemic joint pain, stiffness, or acute pain attacks in single joints. Non-surgical treatment aims to halt disease progression, alleviate joint pain and stiffness, prevent joint deformity, and improve joint movement and stability.
    For individual cases of osteoarthritis, where it's a progressive disease affecting a single joint, causing significant pain, restricted movement, joint deformity, and intra-articular disorder, surgical treatment is necessary."
"Cough, dry cough, headache, myalgia, hydrocephalus, meningitis, heart failure, axillary lymphadenopathy, splenomegaly, strabismus, insomnia, nodules",Pneumocystis Pneumonia,"The treatment for Pneumocystis Pneumonia involves the use of Pyrimethamine and Sulfadiazine, both of which interfere with folic acid metabolism within the parasite, thereby inhibiting the division and reproduction of the trophozoite. These medications are ineffective against cysts. Both drugs can cross the blood-brain barrier, thus they are effective against both latent and symptomatic toxoplasmic meningitis. They are commonly used together but can also be used separately. The dosage of Pyrimethamine is 75mg per day, divided into two oral doses for the first two days, followed by 25mg per day. For infants and young children, the treatment is 1mg/kg per day for the first 1-3 days, followed by 0.5mg/kg per day. This medication has a teratogenic effect and is therefore contraindicated in pregnant women, especially during the early stages of pregnancy. The dosage of Sulfadiazine is 4g per day, divided into four oral doses, with children taking 100-150mg/kg per day, also in four divided doses. The treatment course for both medications lasts one month. Sulfadoxine-pyrimethamine (Fansidar) is also an option. Spiramycin and Clindamycin can be used alone or in combination with Pyrimethamine or Sulfadiazine."
"Fever, chills, eschars or ulcers at the bite site, headache, generalized myalgia, fatigue, facial flushing, and red papular rash",Scrub Typhus,"The treatment for Scrub Typhus includes supportive care and specific antimicrobial therapy. Supportive care involves bed rest, consumption of easily digestible foods, enhanced nursing care focusing on oral hygiene and regular position changes. Ensure adequate hydration with increased fluid intake. For high fever, physical cooling methods such as ice packs or alcohol baths can be utilized, and antipyretics may be administered with caution to avoid excessive sweating. Sedatives might be employed to manage restlessness. For etiological treatment, Chloramphenicol is highly effective, with body temperature typically normalizing within 1 to 3 days. The dosage is 2g/day for adults and 25-40mg/kg/day for children, divided into four doses. For those unable to take oral medication, intravenous administration is an option. After the fever subsides, the dosage should be halved and continued for 7-10 days. Tetracyclines also yield satisfactory results; Doxycycline is recommended at a dosage of 0.2g once per day for adults, continued for 5-7 days. Other alternatives include clarithromycin, azithromycin, and erythromycin, which also show effectiveness. For children who should not receive tetracyclines, these alternatives can be considered. The dosage for clarithromycin is 0.6g/day for adults and 2-3mg/kg/day for children, divided into two doses, with the dosage halved after the fever subsides and continued for a 10-day course."
"Difficulty in sexual intercourse, glans itching, prepuce adhesion",Phimosis,"What are the treatment options for phimosis? 
    Patients with phimosis should undergo circumcision as early as possible. For cases of phimosis without inflammation, regular retraction and cleaning of the foreskin may be sufficient, eliminating the need for surgery. Circumcision is recommended before marriage for those with phimosis and elongated prepuce. After the treatment, sexual activities can be initiated. For those who have not undergone this treatment and engage in sexual intercourse, it is essential to clean the penile area before and after sex; additionally, maintaining lubrication in the genital region is crucial. During intercourse, avoid vigorous movements to prevent paraphimosis or frenulum tear."
"Diarrhea, mucous stools, abdominal pain, abdominal distension, purulent bloody stool, loss of appetite, high fever, low-grade fever, alternating diarrhea and constipation, fever, nausea and vomiting",Trichuriasis,"For the treatment of trichuriasis, the first-line pharmacotherapy is Metronidazole, administered orally in three or four divided doses for children, over a course of 5 to 7 days, achieving an immediate cure rate of 100%, and a near-term efficacy of 95%. Additionally, Tinidazole or a single dose of Ornidazole can be used. Secnidazole, a new medication, also displays good efficacy when taken in a single dose."
"Cyanosis of lips, nails, tip of the nose, earlobes, and oral mucosa due to rich capillary areas, shortness of breath, difficulty breathing",Tetralogy of Fallot,"Treatment for Tetralogy of Fallot primarily involves surgical intervention to increase pulmonary blood flow and correct congenital heart defects, thus improving oxygenation levels. Over 40 years ago, the surgical approach to treat Tetralogy of Fallot was to perform shunt operations between the systemic and pulmonary circulation to alleviate hypoxemia, enhance symptoms, and extend lifespan. With the advent of cardiopulmonary bypass for open-heart surgery, corrective surgery gradually replaced palliative shunt operations, showing increasingly better outcomes. There is, however, some disagreement on the timing of complete repair, particularly in infants and young children, with some advocating for early complete repair irrespective of age to avoid the risks of multiple surgeries and others suggesting staged surgeries due to high mortality rates associated with immediate repair in neonates which significantly decrease with age. At present, the surgical strategy is tailored based on the patient's age and the anatomical features of the defect. For infants with severe conditions needing immediate intervention, a preliminary palliative shunt operation might be performed, followed by definitive surgery after 6 months of age. Procedures such as the Blalock-Taussig shunt, Potts shunt, and Waterston shunt have been historically employed to improve pulmonary blood flow, each with its respective indications, advantages, and limitations. Recent advancements have significantly lowered mortality rates and improved outcomes, leading to more nuanced decision-making regarding the optimal timing and type of surgical intervention. Postoperative care is critical and includes monitoring for complications like bleeding, heart block, low cardiac output syndrome, heart failure, and respiratory failure. The management approach may also involve diuretics, digitalis, antibiotics, and medications to support blood coagulation, along with ensuring respiratory tract patency."
"lack of appetite, abdominal pain, diarrhea, nausea and vomiting, constipation, bruxism, edema, intestinal mucosal shedding, necrotic ulcers on the intestinal mucosa, weight loss, anemia, severe pain",Gnathostomiasis,"The treatment for gnathostomiasis involves various approaches. For severe cases, initial management focuses on robust supportive care aimed at improving nutritional status and correcting anemia. Antiparasitic treatment is considered once physical and mental health have been sufficiently restored, being careful to manage the dosage carefully. 

1. Dichlorophen: This agent exhibits significant lethal effects against lung fluke metacercariae and is clinically used for treating diseases such as lung fluke disease, beef tapeworm disease, and gnathostomiasis. 

2. Niridazole: This product, originally developed in China as a non-antimonial oral medication for schistosomiasis, is primarily absorbed through the small intestine. It significantly impacts the sugar metabolism of schistosomes by inhibiting glycolysis, thus blocking the energy supply to the parasites, causing paralysis and directly killing them. It is applied in the clinical treatment of schistosomiasis, gnathostomiasis, and clonorchiasis. 

3. Praziquantel: This is a broad-spectrum antiparasitic medication suitable for various diseases including schistosomiasis, clonorchiasis, lung fluke disease, gnathostomiasis, tapeworm infections, and cysticercosis. Adverse reactions include common side effects such as dizziness, headache, nausea, abdominal pain, diarrhea, fatigue, and muscle soreness, which are generally mild, short-lived, and do not interfere with treatment. A few cases may experience palpitations, chest tightness, and changes in their ECG, such as T-wave alterations and premature contractions, with rare instances of supraventricular tachycardia and atrial fibrillation. Transient increases in transaminases and rare instances of psychiatric disorders or gastrointestinal hemorrhage have been reported. 

4. Thiabendazole: This broad-spectrum antihelminthic is effective against infections by roundworms, hookworms, whipworms, threadworms, pinworms, and cutaneous and visceral larva migrans (larval stage infections). It is notably effective against threadworms and is the drug of choice for strongyloidiasis. It is primarily used for treating strongyloidiasis and cutaneous and visceral larva migrans. 

5. Areca nut: This is one of the earliest treatments for gnathostomiasis in traditional Chinese medicine. Areca nut contains arecoline, which can paralyze the nervous system of the Gnathostoma worm and enhance intestinal motility, thus exhibiting vermifugal properties. Various methods utilize areca nut to treat gnathostomiasis."
